iso3c,Country,region,year,population,Total motor vehicles,EV_adoption,grid_g_per_kwh,ev_g_per_km,co2_total_mt,co2_transport_mt,delta_adoption,annual_km_total,km_shifted,avoided_Mt
TUV,Tuvalu,,2021,10194.0,50952500,0.0,597.0496894409937,107.46894409937886,0.0,,0.5,611430000000.0,305715000000.0,22173.83175465839
TON,Tonga,,2021,105490.00000000007,50952500,0.0,607.6959523487209,109.38527142276975,0.2014999999999999,0.1017,0.5,611430000000.0,305715000000.0,21587.981746987945
NCL,New Caledonia,,2021,285214.0,50952500,0.0,633.4519055637646,114.02134300147763,5.6077,1.6815,0.5,611430000000.0,305715000000.0,20170.665124303265
NRU,Nauru,,2021,11708.999999999993,50952500,0.0,636.1460957178839,114.5062972292191,0.0,,0.5,611430000000.0,305715000000.0,20022.407342569284
SLB,Solomon Islands,,2021,762591.0000000006,50952500,0.0,665.9963260175964,119.87933868316735,0.3837,0.1933,0.5,611430000000.0,305715000000.0,18379.787974475494
FSM,"Micronesia, Fed. Sts.",,2021,111624.0,50952500,0.0,667.983024346661,120.23694438239897,0.0,,0.5,611430000000.0,305715000000.0,18270.4625481349
GUM,Guam,,2021,163730.0000000001,50952500,0.0,668.7949893029418,120.38309807452951,0.0004,,0.5,611430000000.0,305715000000.0,18225.78117214521
PLW,Palau,,2021,17783.000000000007,50952500,0.0,670.1110996811029,120.61999794259852,1.329,0.6937,0.5,611430000000.0,305715000000.0,18153.357328978498
ASM,American Samoa,,2021,49225.000000000015,50952500,0.0,674.8284855701083,121.46912740261949,0.0001,,0.5,611430000000.0,305715000000.0,17893.765716108184
MHL,Marshall Islands,,2021,41367.00000000001,50952500,0.0,684.2331135713398,123.16196044284116,0.0,,0.5,611430000000.0,305715000000.0,17376.241263216816
MDV,Maldives,,2021,516154.0000000004,45687000,0.0,662.1613385121008,119.18904093217813,2.6342,1.3286,0.5,548244000000.0,274122000000.0,16669.621721589465
PRY,Paraguay,,2021,6684182.000000003,15637250,0.0,61.65935547114318,11.098683984805772,8.959499999999998,7.8604,0.5,187647000000.0,93823500000.0,15846.912623151577
CRI,Costa Rica,,2021,5059987.999999998,15637250,0.0,67.9647876265997,12.233661772787945,8.0185,5.6899,0.5,187647000000.0,93823500000.0,15740.42503466083
TLS,Timor-Leste,,2021,1350139.0,50952500,0.0,718.6638673557277,129.35949612403098,0.6658,0.3085,0.5,611430000000.0,305715000000.0,15481.561642441868
BLZ,Belize,,2021,395346.0000000003,15637250,0.0,99.74905524181557,17.9548299435268,0.2455999999999999,0.0818,0.5,187647000000.0,93823500000.0,15203.645012793515
ALB,Albania,,2021,2811666.0,14664172,0.0,59.95425128319572,10.791765230975228,5.039299999999999,1.7487,0.5,175970064000.0,87985032000.0,14887.791950816158
SLV,El Salvador,,2021,6255782.000000002,15637250,0.0,159.4282111899133,28.69707801418439,7.5314,3.9277,0.5,187647000000.0,93823500000.0,14195.769700936171
LUX,Luxembourg,,2021,640063.9999999998,14664172,0.0,108.33190045248863,19.499742081447952,8.3252,4.9882,0.5,175970064000.0,87985032000.0,14121.620328972056
URY,Uruguay,,2021,3396694.9999999995,15637250,0.0,173.1315723663646,31.163683025945627,8.5341,3.887,0.5,187647000000.0,93823500000.0,13964.34418561519
GEO,Georgia,,2021,3708609.999999999,14664172,0.0,136.97208382759993,24.654975088967987,12.1472,4.1656,0.5,175970064000.0,87985032000.0,13668.036987837948
TJK,Tajikistan,,2021,9966908.000000017,14664172,0.0,138.86041797384038,24.994875235291268,9.3784,1.854,0.5,175970064000.0,87985032000.0,13638.130862586891
LTU,Lithuania,,2021,2808379.999999999,14664172,0.0,160.82591571484852,28.948664828672733,14.329000000000002,6.0921,0.5,175970064000.0,87985032000.0,13290.256558691954
NIC,Nicaragua,,2021,6644741.000000002,15637250,0.0,251.84227391407552,45.33160930453359,5.1767,2.4247,0.5,187647000000.0,93823500000.0,12635.059754416092
GRL,Greenland,,2021,56653.0,14664172,0.0,206.67636877185134,37.201746378933244,0.5484,0.0854,0.5,175970064000.0,87985032000.0,12564.108914393673
ARM,Armenia,,2021,2962299.9999999986,14664172,0.0,223.24406650590177,40.183931971062314,7.509199999999998,2.3661,0.5,175970064000.0,87985032000.0,12301.721219640256
ISL,Iceland,,2021,372520.0,14664172,0.1,64.17507902518608,11.551514224533493,3.2268,0.8748,0.4,175970064000.0,70388025600.0,11856.75632904477
SVN,Slovenia,,2023,2120461.0000000014,14664172,0.0,252.4182280062073,45.435281041117314,12.0765,4.7757,0.5,175970064000.0,87985032000.0,11839.6811036683
BOL,Bolivia,,2021,11937360.000000007,15637250,0.0,316.7931795201763,57.022772313631734,21.8107,11.1754,0.5,187647000000.0,93823500000.0,11538.153921831972
MNG,Mongolia,,2021,3383740.9999999986,50952500,0.0,796.659424189425,143.39869635409647,24.8485,2.692,0.5,611430000000.0,305715000000.0,11189.567544107396
COD,"Congo, Dem. Rep.",,2021,99148931.99999984,10971500,0.01,65.7731857132024,11.83917342837643,3.5103000000000004,2.2757,0.49,131658000000.0,64512420000.0,10848.461871335741
