iso3c,Country,base_year,CO2_base,CO2_scenario,expected_change_pct,shock_gdp_pct,beta_lnGDP_to_lnCO2
QAT,Qatar,2022,118.72979999999998,120.48111983072369,1.475046560108506,10.0,0.15363244094304387
KWT,Kuwait,2022,109.39730000000002,111.0109611105016,1.475046560108506,10.0,0.15363244094304387
CZE,Czechia,2022,99.43250000000003,100.89917567087993,1.475046560108506,10.0,0.15363244094304387
COL,Colombia,2022,91.76049999999996,93.11401009878833,1.475046560108506,10.0,0.15363244094304387
OMN,Oman,2022,90.9704,92.31225575591695,1.475046560108506,10.0,0.15363244094304387
SST,Small states,2022,90.94830000000005,92.28982977062721,1.475046560108506,10.0,0.15363244094304387
BEL,Belgium,2022,89.73929999999997,91.06299645771543,1.475046560108506,10.0,0.15363244094304387
CHL,Chile,2022,88.845,90.1555051163284,1.475046560108506,10.0,0.15363244094304387
VEN,"Venezuela, RB",2022,77.84699999999998,78.99527949564765,1.475046560108506,10.0,0.15363244094304387
ROU,Romania,2022,75.9818,77.10256692720853,1.475046560108506,10.0,0.15363244094304387
MAR,Morocco,2022,70.29689999999998,71.3338120053129,1.475046560108506,10.0,0.15363244094304387
TKM,Turkmenistan,2022,66.61930000000002,67.60196569301839,1.475046560108506,10.0,0.15363244094304387
ISR,Israel,2022,62.85410000000002,63.78122723993718,1.475046560108506,10.0,0.15363244094304387
AUT,Austria,2022,61.223700000000015,62.12677808082117,1.475046560108506,10.0,0.15363244094304387
PRK,"Korea, Dem. People's Rep.",2022,59.46520000000002,60.342339387061664,1.475046560108506,10.0,0.15363244094304387
LBY,Libya,2022,57.04660000000002,57.88806391095888,1.475046560108506,10.0,0.15363244094304387
PER,Peru,2022,57.011299999999984,57.852243219523125,1.475046560108506,10.0,0.15363244094304387
BLR,Belarus,2022,56.82659999999999,57.66481880852661,1.475046560108506,10.0,0.15363244094304387
SGP,Singapore,2022,55.75719999999999,56.57964466061281,1.475046560108506,10.0,0.15363244094304387
GRC,Greece,2022,54.9323,55.742577001538486,1.475046560108506,10.0,0.15363244094304387
BGR,Bulgaria,2022,50.0681,50.80662778676169,1.475046560108506,10.0,0.15363244094304387
OSS,Other small states,2022,48.563100000000006,49.27942833603206,1.475046560108506,10.0,0.15363244094304387
HUN,Hungary,2022,47.601200000000006,48.30333986317038,1.475046560108506,10.0,0.15363244094304387
NOR,Norway,2022,44.5559,45.21312027027539,1.475046560108506,10.0,0.15363244094304387
ECU,Ecuador,2022,42.26019999999999,42.88355762639497,1.475046560108506,10.0,0.15363244094304387
PRT,Portugal,2022,39.4987,40.08132421563758,1.475046560108506,10.0,0.15363244094304387
AZE,Azerbaijan,2022,39.42680000000001,40.00836365716087,1.475046560108506,10.0,0.15363244094304387
CSS,Caribbean small states,2022,37.40590000000001,37.95765444122764,1.475046560108506,10.0,0.15363244094304387
BHR,Bahrain,2022,36.28909999999999,36.82438112124433,1.475046560108506,10.0,0.15363244094304387
SWE,Sweden,2022,36.2086,36.74269370876345,1.475046560108506,10.0,0.15363244094304387
FIN,Finland,2022,36.15370000000001,36.68698390820196,1.475046560108506,10.0,0.15363244094304387
SVK,Slovak Republic,2022,35.5536,36.078032153794744,1.475046560108506,10.0,0.15363244094304387
IRL,Ireland,2022,34.7336,35.24593677200185,1.475046560108506,10.0,0.15363244094304387
NZL,New Zealand,2022,34.6009,35.111279385216584,1.475046560108506,10.0,0.15363244094304387
CHE,Switzerland,2022,34.4133,34.92091219786982,1.475046560108506,10.0,0.15363244094304387
HKG,"Hong Kong SAR, China",2022,32.6269,33.10816196612004,1.475046560108506,10.0,0.15363244094304387
MMR,Myanmar,2022,32.392500000000005,32.870304456983156,1.475046560108506,10.0,0.15363244094304387
TUN,Tunisia,2022,30.4579,30.907168206231287,1.475046560108506,10.0,0.15363244094304387
DOM,Dominican Republic,2022,29.6442,30.081465752371688,1.475046560108506,10.0,0.15363244094304387
DNK,Denmark,2022,28.141500000000004,28.556600227712938,1.475046560108506,10.0,0.15363244094304387
TTO,Trinidad and Tobago,2022,27.923400000000004,28.335283151165342,1.475046560108506,10.0,0.15363244094304387
AGO,Angola,2022,27.353000000000005,27.756469485586486,1.475046560108506,10.0,0.15363244094304387
MNG,Mongolia,2022,25.8905,26.27239692964489,1.475046560108506,10.0,0.15363244094304387
SYR,Syrian Arab Republic,2022,25.292900000000003,25.665982051401688,1.475046560108506,10.0,0.15363244094304387
GHA,Ghana,2022,24.788699999999995,25.154344866645612,1.475046560108506,10.0,0.15363244094304387
LAO,Lao PDR,2022,24.550899999999995,24.913037205925676,1.475046560108506,10.0,0.15363244094304387
BOL,Bolivia,2022,22.7374,23.072787236558113,1.475046560108506,10.0,0.15363244094304387
BIH,Bosnia and Herzegovina,2022,22.712700000000005,23.04772290005777,1.475046560108506,10.0,0.15363244094304387
JOR,Jordan,2022,22.3358,22.665263449572716,1.475046560108506,10.0,0.15363244094304387
SDN,Sudan,2022,21.403,21.718704215260022,1.475046560108506,10.0,0.15363244094304387
KEN,Kenya,2022,21.3896,21.70510655902097,1.475046560108506,10.0,0.15363244094304387
CUB,Cuba,2022,20.847600000000003,21.155111806665186,1.475046560108506,10.0,0.15363244094304387
LKA,Sri Lanka,2022,19.980200000000004,20.274917252802805,1.475046560108506,10.0,0.15363244094304387
GTM,Guatemala,2022,19.9773,20.271974476452556,1.475046560108506,10.0,0.15363244094304387
TZA,Tanzania,2022,18.9815,19.261485962806997,1.475046560108506,10.0,0.15363244094304387
HRV,Croatia,2022,17.442500000000003,17.69978499624693,1.475046560108506,10.0,0.15363244094304387
KHM,Cambodia,2022,17.3545,17.610486955274034,1.475046560108506,10.0,0.15363244094304387
NPL,Nepal,2022,17.2219,17.47593104353533,1.475046560108506,10.0,0.15363244094304387
LBN,Lebanon,2022,16.8712,17.12005805524903,1.475046560108506,10.0,0.15363244094304387
ETH,Ethiopia,2022,16.5391,16.783059425622906,1.475046560108506,10.0,0.15363244094304387
CIV,Cote d'Ivoire,2022,14.7633,14.981065548808498,1.475046560108506,10.0,0.15363244094304387
LTU,Lithuania,2022,13.150099999999998,13.344070097700827,1.475046560108506,10.0,0.15363244094304387
SVN,Slovenia,2022,13.131899999999998,13.325601639226887,1.475046560108506,10.0,0.15363244094304387
GEO,Georgia,2022,12.6339,12.820255907357549,1.475046560108506,10.0,0.15363244094304387
PRI,Puerto Rico (US),2022,12.633399999999998,12.819748532124747,1.475046560108506,10.0,0.15363244094304387
EST,Estonia,2022,12.588200000000002,12.773881811079582,1.475046560108506,10.0,0.15363244094304387
SEN,Senegal,2022,12.3576,12.539880353711968,1.475046560108506,10.0,0.15363244094304387
PAN,Panama,2022,11.9981,12.17507756132838,1.475046560108506,10.0,0.15363244094304387
YEM,"Yemen, Rep.",2022,11.1906,11.355666560355502,1.475046560108506,10.0,0.15363244094304387
ZWE,Zimbabwe,2022,10.962999999999996,11.124709354384692,1.475046560108506,10.0,0.15363244094304387
CMR,Cameroon,2022,10.8265,10.986195915830146,1.475046560108506,10.0,0.15363244094304387
HND,Honduras,2022,10.328400000000002,10.480748708914248,1.475046560108506,10.0,0.15363244094304387
KGZ,Kyrgyz Republic,2022,10.311,10.463092050812788,1.475046560108506,10.0,0.15363244094304387
MOZ,Mozambique,2022,10.028200000000002,10.176120619140804,1.475046560108506,10.0,0.15363244094304387
MDA,Moldova,2022,9.4571,9.596596628236021,1.475046560108506,10.0,0.15363244094304387
BRN,Brunei Darussalam,2022,9.448499999999996,9.587869774231848,1.475046560108506,10.0,0.15363244094304387
TJK,Tajikistan,2022,9.1838,9.319265325987244,1.475046560108506,10.0,0.15363244094304387
URY,Uruguay,2022,8.7104,8.83888245557169,1.475046560108506,10.0,0.15363244094304387
MKD,North Macedonia,2022,8.384,8.507667903599497,1.475046560108506,10.0,0.15363244094304387
AFG,Afghanistan,2022,8.259899999999998,8.381737370818401,1.475046560108506,10.0,0.15363244094304387
PRY,Paraguay,2022,8.1787,8.299339633011593,1.475046560108506,10.0,0.15363244094304387
CRI,Costa Rica,2022,8.09,8.209331266712779,1.475046560108506,10.0,0.15363244094304387
SLV,El Salvador,2022,7.917999999999998,8.034794186629389,1.475046560108506,10.0,0.15363244094304387
ZMB,Zambia,2022,7.806999999999999,7.92215688494767,1.475046560108506,10.0,0.15363244094304387
COG,"Congo, Rep.",2022,7.719600000000001,7.833467694254137,1.475046560108506,10.0,0.15363244094304387
ARM,Armenia,2022,7.2893,7.396820568905989,1.475046560108506,10.0,0.15363244094304387
BWA,Botswana,2022,7.2827,7.390123215833023,1.475046560108506,10.0,0.15363244094304387
LUX,Luxembourg,2022,7.263,7.370132631660681,1.475046560108506,10.0,0.15363244094304387
UGA,Uganda,2022,7.221000000000001,7.327513112105437,1.475046560108506,10.0,0.15363244094304387
CYP,Cyprus,2022,7.185300000000001,7.291286520483477,1.475046560108506,10.0,0.15363244094304387
MLI,Mali,2022,6.8451,6.946068412085988,1.475046560108506,10.0,0.15363244094304387
LVA,Latvia,2022,6.6579,6.756107124925464,1.475046560108506,10.0,0.15363244094304387
BEN,Benin,2022,6.619000000000001,6.716633331813583,1.475046560108506,10.0,0.15363244094304387
JAM,Jamaica,2022,6.369000000000001,6.462945715413311,1.475046560108506,10.0,0.15363244094304387
BFA,Burkina Faso,2022,6.143900000000001,6.234525385606508,1.475046560108506,10.0,0.15363244094304387
MWI,Malawi,2022,5.9478,6.035532819302134,1.475046560108506,10.0,0.15363244094304387
NCL,New Caledonia,2022,5.881800000000001,5.968559288572463,1.475046560108506,10.0,0.15363244094304387
PNG,Papua New Guinea,2022,5.812600000000001,5.898338556352868,1.475046560108506,10.0,0.15363244094304387
NIC,Nicaragua,2022,5.4041,5.4838129911548235,1.475046560108506,10.0,0.15363244094304387
GAB,Gabon,2022,5.394999999999999,5.4745787619178525,1.475046560108506,10.0,0.15363244094304387
PSS,Pacific island small states,2022,4.9793,5.052746993367483,1.475046560108506,10.0,0.15363244094304387
MRT,Mauritania,2022,4.7796,4.850101325386946,1.475046560108506,10.0,0.15363244094304387
ALB,Albania,2022,4.609,4.6769848959554015,1.475046560108506,10.0,0.15363244094304387
NAM,Namibia,2022,4.254800000000001,4.317560281039498,1.475046560108506,10.0,0.15363244094304387
GNQ,Equatorial Guinea,2022,4.1612,4.222579637459235,1.475046560108506,10.0,0.15363244094304387
MUS,Mauritius,2022,4.0491,4.108826110265354,1.475046560108506,10.0,0.15363244094304387
MDG,Madagascar,2022,3.9899,4.048752882701769,1.475046560108506,10.0,0.15363244094304387
COD,"Congo, Dem. Rep.",2022,3.892,3.949408812119423,1.475046560108506,10.0,0.15363244094304387
GIN,Guinea,2022,3.8088,3.864981573381413,1.475046560108506,10.0,0.15363244094304387
HTI,Haiti,2022,3.3921,3.4421350543654405,1.475046560108506,10.0,0.15363244094304387
GUY,Guyana,2022,3.3222,3.3712039968199248,1.475046560108506,10.0,0.15363244094304387
ISL,Iceland,2022,3.2501,3.298040488250087,1.475046560108506,10.0,0.15363244094304387
MAC,"Macao SAR, China",2022,2.9203,2.9633757846948487,1.475046560108506,10.0,0.15363244094304387
NER,Niger,2022,2.905,2.947850102571152,1.475046560108506,10.0,0.15363244094304387
MDV,Maldives,2022,2.7808000000000006,2.821818094743498,1.475046560108506,10.0,0.15363244094304387
SUR,Suriname,2022,2.5392,2.5766543822542753,1.475046560108506,10.0,0.15363244094304387
TGO,Togo,2022,2.5301,2.5674201530173053,1.475046560108506,10.0,0.15363244094304387
TCD,Chad,2022,2.507,2.5439794172619203,1.475046560108506,10.0,0.15363244094304387
FJI,Fiji,2022,2.1386,2.1701453457344804,1.475046560108506,10.0,0.15363244094304387
BTN,Bhutan,2022,1.9267,1.9551197220736107,1.475046560108506,10.0,0.15363244094304387
MLT,Malta,2022,1.7595,1.7854534442251093,1.475046560108506,10.0,0.15363244094304387
LBR,Liberia,2022,1.68,1.7047807822098229,1.475046560108506,10.0,0.15363244094304387
RWA,Rwanda,2022,1.6222,1.6461282052980803,1.475046560108506,10.0,0.15363244094304387
BHS,"Bahamas, The",2022,1.5968,1.6203535434718126,1.475046560108506,10.0,0.15363244094304387
PLW,Palau,2022,1.3981,1.4187226259568768,1.475046560108506,10.0,0.15363244094304387
SWZ,Eswatini,2022,1.3526,1.3725514797720277,1.475046560108506,10.0,0.15363244094304387
PYF,French Polynesia,2022,1.2173,1.235255741776201,1.475046560108506,10.0,0.15363244094304387
SYC,Seychelles,2022,1.2025,1.2202374348853047,1.475046560108506,10.0,0.15363244094304387
SLE,Sierra Leone,2022,1.1029,1.1191682885114367,1.475046560108506,10.0,0.15363244094304387
CPV,Cabo Verde,2022,1.0371,1.0523977078748852,1.475046560108506,10.0,0.15363244094304387
SOM,Somalia,2022,0.8662,0.8789768533036598,1.475046560108506,10.0,0.15363244094304387
LSO,Lesotho,2022,0.8518,0.8643644465990042,1.475046560108506,10.0,0.15363244094304387
BDI,Burundi,2022,0.8396,0.851984490918671,1.475046560108506,10.0,0.15363244094304387
BRB,Barbados,2022,0.7598,0.7710074037637045,1.475046560108506,10.0,0.15363244094304387
DJI,Djibouti,2022,0.7485,0.7595407235024122,1.475046560108506,10.0,0.15363244094304387
TLS,Timor-Leste,2022,0.7121,0.7226038065545326,1.475046560108506,10.0,0.15363244094304387
GIB,Gibraltar,2022,0.675,0.6849565642807325,1.475046560108506,10.0,0.15363244094304387
ERI,Eritrea,2022,0.6674,0.6772444607421642,1.475046560108506,10.0,0.15363244094304387
GMB,"Gambia, The",2022,0.6241,0.6333057655816372,1.475046560108506,10.0,0.15363244094304387
GRL,Greenland,2022,0.5758,0.5842933180931048,1.475046560108506,10.0,0.15363244094304387
ABW,Aruba,2022,0.5027,0.5101150590576655,1.475046560108506,10.0,0.15363244094304387
WSM,Samoa,2022,0.4529,0.45958048587073147,1.475046560108506,10.0,0.15363244094304387
SLB,Solomon Islands,2022,0.405,0.4109739385684395,1.475046560108506,10.0,0.15363244094304387
GNB,Guinea-Bissau,2022,0.3565,0.3617585409867868,1.475046560108506,10.0,0.15363244094304387
CAF,Central African Republic,2022,0.3528,0.35800396426406284,1.475046560108506,10.0,0.15363244094304387
CYM,Cayman Islands,2022,0.3395,0.34450778307156843,1.475046560108506,10.0,0.15363244094304387
BMU,Bermuda,2022,0.3324,0.33730305476580064,1.475046560108506,10.0,0.15363244094304387
COM,Comoros,2022,0.3172,0.32187884768866415,1.475046560108506,10.0,0.15363244094304387
ATG,Antigua and Barbuda,2022,0.3065,0.31102101770673257,1.475046560108506,10.0,0.15363244094304387
LCA,St. Lucia,2022,0.2812,0.28534783092702515,1.475046560108506,10.0,0.15363244094304387
VUT,Vanuatu,2022,0.2778,0.2818976793439814,1.475046560108506,10.0,0.15363244094304387
BLZ,Belize,2022,0.2617,0.26556019684780396,1.475046560108506,10.0,0.15363244094304387
TON,Tonga,2022,0.2127,0.2158374240333508,1.475046560108506,10.0,0.15363244094304387
STP,Sao Tome and Principe,2022,0.2049,0.20792237040166234,1.475046560108506,10.0,0.15363244094304387
GRD,Grenada,2022,0.1353,0.1372957379958268,1.475046560108506,10.0,0.15363244094304387
KNA,St. Kitts and Nevis,2022,0.1126999999999999,0.11436237747324218,1.475046560108506,10.0,0.15363244094304387
TCA,Turks and Caicos Islands,2022,0.0978,0.09924259553578611,1.475046560108506,10.0,0.15363244094304387
KIR,Kiribati,2022,0.0942,0.09558949385962222,1.475046560108506,10.0,0.15363244094304387
VCT,St. Vincent and the Grenadines,2022,0.0913,0.09264671750937907,1.475046560108506,10.0,0.15363244094304387
DMA,Dominica,2022,0.0758,0.07691808529256225,1.475046560108506,10.0,0.15363244094304387
VGB,British Virgin Islands,2022,0.0714,0.07245318324391747,1.475046560108506,10.0,0.15363244094304387
FRO,Faroe Islands,2022,0.0020999999999999,0.0021309759777621774,1.475046560108506,10.0,0.15363244094304387
GUM,Guam,2022,0.0004,0.00040590018624043404,1.475046560108506,10.0,0.15363244094304387
VIR,Virgin Islands (U.S.),2022,0.0001999999999999,0.00020295009312011554,1.475046560108506,10.0,0.15363244094304387
ASM,American Samoa,2022,0.0001,0.00010147504656010851,1.475046560108506,10.0,0.15363244094304387
FSM,"Micronesia, Fed. Sts.",2022,0.0,0.0,,10.0,0.15363244094304387
MNP,Northern Mariana Islands,2022,0.0,0.0,,10.0,0.15363244094304387
NRU,Nauru,2022,0.0,0.0,,10.0,0.15363244094304387
MHL,Marshall Islands,2022,0.0,0.0,,10.0,0.15363244094304387
TUV,Tuvalu,2022,0.0,0.0,,10.0,0.15363244094304387
