country,region,Total motor vehicles,Electric cars in use,EV_adoption
Czechia,ECS,6931000,575,0.01
Denmark,ECS,3147000,62000,1.97
Djibouti,MEA,6229600,575,0.01
Dominica,LCN,15637250,575,0
Dominican Republic,LCN,15637250,575,0
Ecuador,LCN,2678000,575,0.02
"Egypt, Arab Rep.",MEA,6918000,575,0.01
El Salvador,LCN,15637250,575,0
Equatorial Guinea,SSF,10971500,575,0.01
Eritrea,SSF,10971500,575,0.01
Estonia,ECS,14664172,575,0
Eswatini,SSF,10971500,575,0.01
Ethiopia,SSF,10971500,575,0.01
Faroe Islands,ECS,14664172,575,0
Fiji,EAS,50952500,575,0
Finland,ECS,3191000,55700,1.75
France,ECS,45421000,440000,0.97
French Polynesia,EAS,50952500,575,0
Gabon,SSF,10971500,575,0.01
"Gambia, The",SSF,10971500,575,0.01
Georgia,ECS,14664172,575,0
Germany,ECS,52275000,610000,1.17
Ghana,SSF,10971500,575,0.01
Gibraltar,ECS,14664172,575,0
Greece,ECS,6491000,3300,0.05
Greenland,ECS,14664172,575,0
Grenada,LCN,15637250,575,0
Guam,EAS,50952500,575,0
Guatemala,LCN,15637250,575,0
Guinea,SSF,10971500,575,0.01
Guinea-Bissau,SSF,10971500,575,0.01
Guyana,LCN,15637250,575,0
Haiti,LCN,15637250,575,0
Honduras,LCN,15637250,575,0
"Hong Kong SAR, China",EAS,50952500,575,0
Hungary,ECS,4515000,575,0.01
Iceland,ECS,14664172,15000,0.1
India,SAS,45687000,12050,0.03
Indonesia,EAS,21114000,575,0
"Iran, Islamic Rep.",MEA,15962000,575,0
Iraq,MEA,4715000,575,0.01
Ireland,ECS,2672000,575,0.02
Isle of Man,ECS,14664172,575,0
Israel,MEA,3540000,18800,0.53
Italy,ECS,44999000,99000,0.22
Jamaica,LCN,15637250,575,0
Japan,EAS,76702000,300000,0.39
Jordan,MEA,6229600,575,0.01
Kazakhstan,ECS,4282000,575,0.01
Kenya,SSF,10971500,575,0.01
Kiribati,EAS,50952500,575,0
"Korea, Dem. People's Rep.",EAS,50952500,575,0
"Korea, Rep.",EAS,23730000,144000,0.61
Kosovo,ECS,14664172,575,0
Kuwait,MEA,6229600,575,0.01
Kyrgyz Republic,ECS,14664172,575,0
Lao PDR,EAS,50952500,575,0
Latvia,ECS,14664172,575,0
Lebanon,MEA,6229600,575,0.01
Lesotho,SSF,10971500,575,0.01
Liberia,SSF,10971500,575,0.01
Libya,MEA,3259000,575,0.02
Liechtenstein,ECS,14664172,575,0
Lithuania,ECS,14664172,575,0
Luxembourg,ECS,14664172,575,0
"Macao SAR, China",EAS,50952500,575,0
Madagascar,SSF,10971500,575,0.01
Malawi,SSF,10971500,575,0.01
Malaysia,EAS,17748000,575,0
Maldives,SAS,45687000,575,0
Mali,SSF,10971500,575,0.01
Malta,MEA,6229600,575,0.01
Marshall Islands,EAS,50952500,575,0
Mauritania,SSF,10971500,575,0.01
Mauritius,SSF,10971500,575,0.01
Mexico,LCN,45086000,9500,0.02
"Micronesia, Fed. Sts.",EAS,50952500,575,0
Moldova,ECS,14664172,575,0
Monaco,ECS,14664172,575,0
Mongolia,EAS,50952500,575,0
Montenegro,ECS,14664172,575,0
Morocco,MEA,4120000,575,0.01
Mozambique,SSF,10971500,575,0.01
Myanmar,EAS,50952500,575,0
Namibia,SSF,10971500,575,0.01
Nauru,EAS,50952500,575,0
Nepal,SAS,45687000,575,0
Netherlands,ECS,10248000,290000,2.83
New Caledonia,EAS,50952500,575,0
New Zealand,EAS,4398000,22900,0.52
Nicaragua,LCN,15637250,575,0
Niger,SSF,10971500,575,0.01
Nigeria,SSF,11605000,575,0
North Macedonia,ECS,14664172,575,0
Northern Mariana Islands,EAS,50952500,575,0
Norway,ECS,3416000,490000,14.34
Oman,MEA,6229600,575,0.01
Pakistan,MEA,4553000,575,0.01
Palau,EAS,50952500,575,0
Panama,LCN,15637250,575,0
Papua New Guinea,EAS,50952500,575,0
Paraguay,LCN,15637250,575,0
Peru,LCN,2945000,575,0.02
Philippines,EAS,4317000,575,0.01
Poland,ECS,29237000,17700,0.06
Portugal,ECS,6591000,49000,0.74
Puerto Rico (US),LCN,15637250,575,0
Qatar,MEA,6229600,575,0.01
Romania,ECS,8517000,575,0.01
Russian Federation,ECS,56673000,575,0
Rwanda,SSF,10971500,575,0.01
Samoa,EAS,50952500,575,0
