iso3c,last10_lnCO2,next10_lnCO2,delta,trend,likely_reduce_CO2
IRL,3.5938611836351897,3.7895808,0.1957196383557771,sube,0
IRN,6.513245566442963,6.5081224,-0.005123122290131121,disminuye,1
IRQ,5.096678222342215,5.9843307,0.8876524318020724,sube,0
ISL,1.2014897458757283,0.8994287,-0.3020610206331136,disminuye,1
ISR,4.177452527384307,4.5752716,0.3978190790610059,sube,0
ITA,5.824931236340858,5.762601,-0.06233033759818252,disminuye,1
JAM,1.9726688075248737,2.5664954,0.5938266110237103,sube,0
JOR,3.185879213617332,3.7682223,0.5823431183834002,sube,0
JPN,7.067859106553849,6.64666,-0.42119925547963,disminuye,1
KAZ,5.444160511506437,5.5096445,0.06548399685537909,sube,0
KEN,2.928713789450417,4.687597,1.758883008492698,sube,0
KGZ,2.3123617703346038,2.307695,-0.004666858377816663,disminuye,1
KHM,2.4422205765332197,3.0631309,0.6209102790270831,sube,0
KIR,-2.585971403957845,-2.8144672,-0.2284957877383218,disminuye,1
KNA,-2.2431265030906653,-3.7721772,-1.5290507163002038,disminuye,1
KOR,6.457210145051431,6.329919,-0.12729128366227105,disminuye,1
KWT,4.58716859704431,4.3178577,-0.2693108547347398,disminuye,1
LAO,2.6052661774019836,2.394731,-0.21053513263269652,disminuye,1
LBN,3.1697583607514765,3.0219135,-0.14784483230909373,disminuye,1
LBR,0.29198707398846024,0.50770503,0.21571795883700973,sube,0
LBY,4.021862419924103,4.008581,-0.013281258425079656,disminuye,1
LCA,-1.5239609617853715,-0.34109795,1.1828630108500078,sube,0
LKA,3.035446609928127,3.5137036,0.4782569747428935,sube,0
LSO,-0.3668129700185528,0.87697095,1.2437839168073406,sube,0
LTU,2.6223294731094224,3.1155305,0.4932010177658217,sube,0
LUX,2.195598784645482,2.3415983,0.14599948767812654,sube,0
LVA,2.0159308313260365,2.3927274,0.3767965437044811,sube,0
MAC,0.9544846083807684,1.2250645,0.27057990768673645,sube,0
MAR,4.174389825796573,5.2626715,1.0882816448455168,sube,0
MDA,2.1544556956643754,1.9230375,-0.23141816667267623,disminuye,1
MDG,1.2459966888656797,1.835692,0.5896953592071352,sube,0
MDV,0.746147437363581,2.250005,1.50385756942658,sube,0
MEX,6.166465034577468,6.807728,0.6412627791432355,sube,0
MHL,-9.141025653920238,,,sube,0
MKD,2.084794141579868,1.8402954,-0.24449870758175996,disminuye,1
MLI,1.5682911642049688,2.245066,0.6767747633005243,sube,0
MLT,0.548128341743542,,,sube,0
MMR,3.269943988339354,4.3099723,1.0400282978850113,sube,0
MNG,3.0761792298811423,3.1134477,0.03726843628707055,sube,0
MNP,-9.210340371976182,,,sube,0
MOZ,2.0343906672052197,2.1354961,0.10110547232114753,sube,0
MRT,1.2548486308739042,2.534452,1.2796033306434298,sube,0
MUS,1.3939564844456318,2.1655164,0.7715598920497295,sube,0
MWI,1.677928033061373,2.2404177,0.562489685825956,sube,0
MYS,5.52995418246592,5.731092,0.20113779369985174,sube,0
NAM,1.4062773625376757,2.0014808,0.5952034552571241,sube,0
NCL,1.6527354046516993,0.8297017,-0.8230336829834559,disminuye,1
NER,0.8336922869598284,1.9872411,1.153548861988841,sube,0
NGA,4.815575448119949,5.230046,0.41447034732072474,sube,0
NIC,1.6502841603697753,2.327358,0.677073847061255,sube,0
